N_Threads,N_Lecteurs,N_Ecrivains,Mesure,Temps_Execution_s
2,1,1,1,0.007476
2,1,1,2,0.007471
2,1,1,3,0.007559
2,1,1,4,0.007561
2,1,1,5,0.007467
4,2,2,1,0.011209
4,2,2,2,0.011193
4,2,2,3,0.010068
4,2,2,4,0.012011
4,2,2,5,0.011562
8,4,4,1,0.005576
8,4,4,2,0.006048
8,4,4,3,0.004908
8,4,4,4,0.003376
8,4,4,5,0.004614
16,8,8,1,0.004583
16,8,8,2,0.004406
16,8,8,3,0.004443
16,8,8,4,0.004192
16,8,8,5,0.004147
32,16,16,1,0.003794
32,16,16,2,0.003855
32,16,16,3,0.004757
32,16,16,4,0.003918
32,16,16,5,0.003968
