N_Threads,N_Lecteurs,N_Ecrivains,Mesure,Temps_Execution_s
2,1,1,1,0.003823
2,1,1,2,0.004578
2,1,1,3,0.013722
2,1,1,4,0.011358
2,1,1,5,0.001928
4,2,2,1,0.009978
4,2,2,2,0.011740
4,2,2,3,0.006759
4,2,2,4,0.006990
4,2,2,5,0.007021
8,4,4,1,0.018061
8,4,4,2,0.012592
8,4,4,3,0.015483
8,4,4,4,0.012774
8,4,4,5,0.012533
16,8,8,1,0.017071
16,8,8,2,0.019867
16,8,8,3,0.078734
16,8,8,4,0.048026
16,8,8,5,0.080927
32,16,16,1,0.020453
32,16,16,2,0.238067
32,16,16,3,0.082641
32,16,16,4,0.088903
32,16,16,5,0.112165
