N_Threads,N_Producteurs,N_Consommateurs,Mesure,Temps_Execution_s
2,1,1,1,0.070748
2,1,1,2,0.086074
2,1,1,3,0.079634
2,1,1,4,0.082245
2,1,1,5,0.083212
4,2,2,1,0.134226
4,2,2,2,0.140762
4,2,2,3,0.136322
4,2,2,4,0.141837
4,2,2,5,0.137817
8,4,4,1,0.206724
8,4,4,2,0.154544
8,4,4,3,0.342607
8,4,4,4,0.151304
8,4,4,5,0.208919
16,8,8,1,0.313661
16,8,8,2,0.389517
16,8,8,3,0.300421
16,8,8,4,0.386688
16,8,8,5,0.288598
32,16,16,1,0.511043
32,16,16,2,0.328978
32,16,16,3,0.465183
32,16,16,4,0.357376
32,16,16,5,0.415896
