N_Threads,N_Producteurs,N_Consommateurs,Mesure,Temps_Execution_s
2,1,1,1,0.015485
2,1,1,2,0.048671
2,1,1,3,0.050642
2,1,1,4,0.081698
2,1,1,5,0.074154
4,2,2,1,0.272931
4,2,2,2,0.273886
4,2,2,3,0.105403
4,2,2,4,0.259857
4,2,2,5,0.335044
8,4,4,1,0.328913
8,4,4,2,0.261099
8,4,4,3,0.364993
8,4,4,4,0.440866
8,4,4,5,0.321285
16,8,8,1,0.403876
16,8,8,2,0.285507
16,8,8,3,0.490616
16,8,8,4,0.422396
16,8,8,5,0.351453
32,16,16,1,3.264246
32,16,16,2,3.152687
32,16,16,3,3.241894
32,16,16,4,2.348321
32,16,16,5,4.582999
